Company/Brand,Founded,HeadQuarter,Sector,What it does,Founders,Investor,Amount($),Stage,
GoodGamer,2020,Bangalore,Gaming,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,Charles Creighton,,"$2,500,000",Seed,
InnAccel,2012,Bangalore,Medtech,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",Siraj Dhanani,Mount Judi Ventures,"$1,500,000",Pre-series A,
Tiliter,2017,Sydney,Retail,Software that uses computer vision to recognise products without barcodes,"Chris Sampson, Marcel Herz, Martin Karafilis","AngelList, Investec","$7,500,000",,
Slintel,2016,"San Francisco Bay Area, Silicon Valley, West Coast",Sles and marketing,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.","Deepak Anchala, Rahul Bhattacharya, Ranjana TN","Accel, Stellaris Venture Partners","$4,200,000",,
SoOLEGAL,2015,New Delhi,LegalTech,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",Manish Kaul,,"$4,000,000",,
HobSpace,2019,Mumbai,Edtech,India's Activity Hub for Kids,"Priya Goel Sheth, Harsh Jain",Artha Venture,"$200,000",Seed,
Supplynote,2015,Noida,SaaS startup,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash","MOX, SOSV","$500,000",Seed,
Hire Me Car,,Noida,Car Service,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,Pankaj Sharma,,Undisclosed,Seed,
ShopUp,2017,Bangaldesh,E-commerce,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.","Afeef Zaman, Ataur Rahim Chowdhury, Siffat Sarwar","Flourish Ventures, Lonsdale Capital","$22,000,000",Series A,
Harmonizer India,2019,Bangalore,Tech Startup,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",M R Srinivas,Kapil Dev,Undisclosed,,
Zomato,2008,Gurugram,FoodTech,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management","$52,000,000",,
Dukaan,2020,Mumbai,Tech Startup,Developer of an android application designed for businesses to sell online.,"Subhash Choudhary, Suumit Shah","Lightspeed, Matrix Partners.","$6,000,000",Seed,
CredR,2014,Mumbai,Bike marketplace,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,"Nikhil Jain, Nittin Mittal, Sumit Chhazed","Eight Roads Ventures, On Mauritius","$2,000,000",,
Satyukt,2018,Bangalore,Agri tech,An agritech company that provides business to business (B2B) agricultural data,"Sat Tomer, Yukti Gill","NABVENTURES, Social Alpha (India)","$500,000",Seed,
RACEnergy,2018,Hyderabad,Automobiles,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,"Arun Sreyas, Gautham Maheswaran","growX Ventures, Huddle (Incubator)",Undisclosed,,
TREAD,2020,Bangalore,Fitness startup,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,Dinesh Godara,"Better Capital, Kunal Shah, Gaurav Munjal","$1,100,000",Pre-seed,
Anveshan,2019,Bangalore,FoodTech,Provide quality and healthy food products,"Aayushi Khandelwal, Akhil Kansal, Kuldeep Parewa",Titan Capital,"$100,000",Pre-seed,
TeaMonk,2016,Bangalore,Food & Bevarages,India's Finest Specialty Tea company.,"Amit Dutta, Ashok Mittal","Lead Angels Network, Roots Ventures","$900,000",Pre-series A,
Fleetx,2017,Gurugram,Tech Startup,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.","Abhay Jeet Gupta, Parveen Kataria, Udbhav Rai, Vineet Sharma, Vishal Mishra","Rohit Bansal, Rohan Ranavat","$3,000,000",Pre-series B,
ReNEWate,2018,Pune,Real Estate,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",Supratik Ghatak,Real Estate Accelerator Program,Undisclosed,Pre-seed,
Tango Eye,2018,Chennai,SaaS startup,Retail Video Analytics SaaS product,Surender Gounder,"Riso Investments, Lenskart",Undisclosed,Seed,
Rare Planet,2015,Kolkata,Reatil startup,Rare Planet sells handicrafts made by local artisans.,"Ranodeep Saha, Vijay Kumar",Venture Catalysts,Undisclosed,Pre-series A,
Avataa Me,2014,Bangalore,AR platform,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,Gaurav Baid,Sequoia Capital India,"$7,000,000",Series A,
Arrival,2015,"London, England, United Kingdom",EV startup,Arrival is a technology company that specializes in developing electric vehicles.,Denis Sverdlov,"UPS Ventures, Hyundai Motor Company","$118,000,000",,
Cover Genius,2014,"Sydney, New South Wales, Australia",FinTech,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,"Angus McDonald, Chris Bayley","King River Capital, Leap Capital","$15,000,000",,
Phononic Vibes,2018,"Milano, Lombardia, Italy",Deeptech,"Phononic Vibes introduces a new patented technology for vibration and noise control and isolation, with a circular economy approach.","Andrea Boeri, Braghin Francesco, Giovanni Capellari, Luca D'Alessandro, Stefano Caverni",,"$2,300,000",,
MikeLegal,2017,Gurugram,LegalTech,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,"Tushar Bhargava, Anshul Gupta","SOSV, Artesian",Undisclosed,Seed,
Clair,2019,"New York, United States",FinTech,Clair is a social fintech that provides Instant Pay Access as a Service for human capital management and gig platforms.,"Alex Kostecki, Erich Nussbaumer, Nico Simko","Upfront Ventures, Walkabout Ventures","$4,500,000",Seed,
Gourmet Garden,1999,"Palmwoods, Queensland, Australia",Consumer Goods,Gourmet Garden is a global market leader in chilled convenient packaged herbs.,Arjun Balaji,Advent Partners,Undisclosed,,
Miko,2015,Mumbai,AI startup,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani","Stride Ventures, YourNest Venture Capital","$3,000,000",Pre-series B,
Razorpay,2014,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar","Tiger Global Management, Sequoia Capital India","$100,000,000",Series D,
Ninjacart,2015,Bangalore,Food Industry,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.","Ashutosh Vikram, Kartheeswaran K K, Sharath Loganathan, Thiru Nagarajan, Thirukumaran Nagarajan, Vasu Devan","Syngenta Ventures, Walmart","$30,000,000",,
Wow! Momo,2008,Kolkata,Food Industry,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,"Binod Kumar Homagai, Sagar Daryani, Shah Miftaur Rahman","Tiger Global Management, William Bissell","$5,000,000",Debt,
Pepper Content,2017,Mumbai,Content marketplace,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,"Anirudh Singla, Rishabh Shekhar","Alok Mittal, Manan Maheshwari","$4,200,000",Series A,
LIVSPACE,2014,Bangalore,Interior Design,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Mercer Investments, Bessemer Venture Partners","$4,000,000",Debt,
Acculi Labs,2017,Bangalore,Healthcare,Acculi Labs is a clinical grade smartphone based diagnostic tool,"HariPrasath M., Rupam Das",Startup Basket.,"$600,000",Seed,
Your MD,2012,"London, England, United Kingdom",Healthcare,Your.MD is a platform committed to helping a billion people find their health by unlocking self-care with digital technology.,"Alessandro Traverso, Birger Lie, Harald Jellum, Matteo Berlucchi","Orkla Ventures, Smedvig Capital","$25,000,000",,
Antaios,2016,France,Tech company,Developer of memory-based technology intended to solve issues of advanced computing.,Jean Pierre Nozieres,,"$11,000,000",,
Unnati,2017,Noida,AgriTech,A helping hand to the farming community through Artificial Intelligence,"Amit Sinha, Ashok Prasad",NABVENTURES,"$1,700,000",Pre-series A,
Disprz,2015,Chennai,Edtech,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.","Kuljit Chadha, Subramanian Viswanathan","Xseed Partners, InnoVen Capital","$1,600,000",Pre-series B,
Uni,,Mumbai,FinTech,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,Nitin Gupta,"Lightspeed India Partners, Accel India","$18,500,000",Seed,
Credit Wise Capital,1994,Mumbai,FinTech,CreditWise Capital is a consumer finance company.,"Hirak Joshi, Aalesh Avlani",Venture Catalysts,"$6,000,000",Seed,
Chargebee,2011,"San Francisco Bay Area, West Coast, Western US",SaaS startup,Chargebee is a PCI Level 1 certified subscription and recurring billing system for SaaS and subscription based eCommerce businesses,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan T","Accel, Steadview Capital","$55,000,000",Series F,
Reliance Retail Ventures Ltd,2006,Mumbai,Retail,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,"Silver Lake, Mubadala Investment Company","$70,000,000,000",,
Winuall,2019,Bangalore,Edtech,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.","Ashwini Purohit, MS Chouhan","Amit Lakhotia, Akash Gehani","$2,000,000",,
Genrobotics,2015,"Trivandrum, Kerala, India",AI startup,GenRobotic specializes in powered robotic exoskeletons with RC controlled humanoid robotic systems and Artificial Intelligence.,"Arun George, Nikhil NP, Rashid Bin Abdulla, Vimal Govind MK",Unicorn India Ventures,"$300,000",,
Livve,2015,Cochin,Rental space,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,Maya Lakshman,,"$1,500,000",Seed,
Ergos,2012,"Samastipur, Bihar",AgriTech,Ergos is building an integrated supply chain by setting up micro warehouses.,"Kishor Kumar Jha, Praveen Kumar","Aavishkaar Venture Capital, Chiratae Ventures","$5,000,000",Series A,
Krishitantra,2017,Hyderabad,Soil-Tech,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,"Sandeep Kondaji, Vishnuprasada Bhat, Anand Bellan Raman","NABVENTURES, Omnivore","$1,000,000",Seed,
PakkaProfile,2019,Bangalore,Recruitment startup,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games","Nagmanjunath Shivakumar, Savio Sebastian",Java Capital,Undisclosed,Seed,
Monet Networks,2014,"Irvine, California, United States",AI startup,Monet Networks Using sentiment and non verbal cues analysis for increased engagement and real time content feedback.,Anurag Bist,"SenseAI Ventures, EvoNexus","$500,000",Bridge,
Unocoin,2013,"Tumkur, Karnataka",FinTech,"Unocoin is an Indian bitcoin processor that enables users to buy, sell, store, use, and accept bitcoins.","Abhinand Kaseti, Harish B V, Sathvik Vishwanath, Sunny Ray","Digital Finance Group, FundersClub",Undisclosed,Series A,
Pesto,2017,New Delhi,Edtech,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,"Andrew Linfoot, Ayush Jaiswal","Sriharsha Majety, Rahul Jaimini",Undisclosed,,
NirogStreet,2016,Gurugram,Ayurveda tech,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,Ram N Kumar,"Wavemaker Partners, Subho Ray","$2,000,000",Pre-series A,
Bambrew,2018,Bangalore,Packaging solution startup,Bambrew is an online shop for reusable bamboo straws.,Vaibhav Anant,Upsparks,Undisclosed,Pre-seed,
Omnify,2016,"San Francisco Bay Area, Silicon Valley, West Coast",SaaS startup,Omnify is a Global SaaS platform for Small Services Business,"Kabandi Saika, Manik Mehta","Saurabh Arora, LD Sharma",Undisclosed,Pre-series A,
Fanball XI,,New Delhi,Gaming,The gaming company mostly focused on fantasy football games,Vinayak Seth,Foxhog Ventures,"$1,000,000",Seed,
Treebo Hotels,2015,Bangalore,Hospitality,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.","Kadam Jeet Jain, Rahul Chaudhary, Sidharth Gupta","Ramesh Mangaleswaran, Saikiran Krishnamurthy","$6,000,000",,
GPS Renewables,2010,Bangalore,Cleantech,To solve the urban waste problem by utilising local technologies and business models.,"Mainak, Sreekrishna","Triodos, Caspian","$3,000,000",Series A,
Public,2019,New Delhi,Social Media,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,Azhar Iqubal,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners","$30,000,000",,
Legal Salah,2015,Kolkata,LegalTech,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,CA Abhinit Singh,I2I Capitals,"$1,000,000",Seed,
FanPlay,2018,New Delhi,Gaming,FanPlay Technologies operates as a real-money gaming startup.,"Bharat Gupta, Pritesh Kumar","Core91 Fund, Anupam Mittal",Undisclosed,Seed,
ECOSTP,2017,Bangalore,Sanitation solutions,Eco friendly zero power zero maintenance sewage treatment plant in India.,"Simar Kohli, Tharun Kumar, Praseed KK",Terwilliger Centre,"$19,000,000",,
Coralogix,2013,"San Francisco, California, United States",SaaS startup,Coralogix is a log analytics SaaS platform that improves the delivery and maintenance process for software providers.,"Ariel Assaraf, Guy Kroupp, Lior Redlus, Yoni Farin","2B Angels, Janvest Capital Partners","$25,000,000",Series B,
Equiwatt,2015,"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",Tech company,Equiwatt is a digital platform enabling households to get paid for saving energy at peak times.,"Johnson Fernandes, Ravneet Kaur",Rising Stars,"$300,000",,
Reliance Retail Ventures,2006,Mumbai,E-commerce,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",Mukesh Ambani,"General Atlantic, Kohlberg Kravis Roberts","$800,000,000",,
Zhangmen,2005,"Shanghai, China",Edtech,Zhangmen is an online tutoring platform provides tutoring courses to students.,Yi Zhang,"CICC Alpha, VMS Asset Management","$400,000,000",,
AgroWave,2017,Gurugram,AgriTech,Agrowave engages in transforming agriculture supply chain by connecting farms to businesses.,Anu Meena,Sekhar Puli,"$500,000",,
Sapio Analytics,2018,Mumbai,Tech company,Sapio Analytics provides AI-powered policymaking solutions for government institutions.,"Ashwin Srivastava, Hardik Somani",,"$150,000",,
Taimei,2013,"Jiaxing, Zhejiang, China",HealthCare,Taimei Technology provides a cloud platform for clinical research collaboration.,Lu Zhao,"Cowin Venture, ZSVC","$176,000,000",,
Avanse Financial Services,2012,Mumbai,FinTech,"Avanse, regulated by the Reserve Bank of India, is an education finance company that operates as a non-banking finance company (NBFC).",Amit Gainda,International Finance Corporation,"$15,000,000",,
Industry Buying,2013,New Delhi,E-commerce,India's largest industrial ecommerce platform,"Rahul Gupta, Swati Gupta","BlackSoil, BEENEXT","$15,000,000",,
Hopscotch,2011,Mumbai,E-commerce,"Hopscotch provides an insider access to international brands for babies, kids, and moms.",Rahul Anand,"Marc Lore, Rise Capital","$25,000,000",,
Pristyn Care,2018,Gurugram,HealthCare,Pristyn Care is Health Care Startup that is disrupting Day Care Procedures.,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures","$11,000,000",,
WoodenStreet,2015,Rajastan,Home Design,Wooden Street is a online furniture platform that provides custom made & ready to order furniture.,"Dinesh Pratap, Lokendra Ranawat, Vikas Baheti, Virendra Ranawat","IAN Fund, Rajasthan Venture Capital Fund","$1,000,000",,
ACKO,2016,Mumbai,InsureTech,Acko General Insurance is a private sector general insurance company in India.,"Ruchi Deepak, Varun Dua","RPS Ventures, Intact Ventures","$60,000,000",,
Farmers Fresh Zone,2015,Kochi,AgriTech,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam","$470,000",,
Invento,2016,Bangalore,AI Startup,Invento Robotics specializes in developing service robots intended for customer interactions.,"Balaji Viswanathan, Bharat Kumar, Mahalakshmi Radhakrishnan","Chiripal Group, Ratish Kumar Nair",Undisclosed,,
Infurnia,2014,Bangalore,Tech Startup,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,"Lovepreet Mann, Nikhil Kumar, Parul Jain","Pallav Nadhani, Idein Ventures","$240,000",,
AnalytIQSports's SuperCric,2019,Bangalore,Entertainment,SuperCric is India's first strategy Cricket Manager simulation game,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",,Undisclosed,,
Snowflake,2012,California,Tech company,Snowflake is a cloud data platform that provides a data warehouse-as-a-service designed for the cloud.,"Benoit Dageville, Bob Muglia, Marcin Zukowski, Thierry Cruanes","Salesforce Ventures, Dragoneer Investment Group","$3,000,000,000",,
GenieTalk,2016,Indore,Tech company,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,"Santosh Kataria, Ankit Kimtee, Vivek Jain",,"$750,000",,
Classplus,2018,Noida,EdTech,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge","$10,000,000",,
Mobile Premier League,2018,Bangalore,Entertainment,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,"Sai Srinivas Kiran G, Shubham Malhotra","Sequoia Capital India, Times Internet","$74,000,000",,
Fourth Partner Energy,2010,Hyderabad,Solar solution,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian","responsAbility, Grameen Impact India (GIII)","$16,000,000",,
Flipkart,2007,Bangalore,E-commerce,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,"Binny Bansal, Sachin Bansal","Tencent Holdings, Walmart","$62,000,000",,
Vivriti Capital,2017,Chennai,FinTech,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, LLC","$1,000,000",,
InsuranceDekho,2017,Ludhiana,FinTech,The funding for branding and marketing activities as well as strengthening the product and technology teams,Ankit Agrawal,GirnarSoft,"$20,000,000",,
BestDoc,2016,Kochi,HealthCare,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,"Afsal Salu, Fayaz Bin Abdu, Soudabi",,"$2,100,000",,
Byju’s,2011,Bangalore,EdTech,An Indian educational technology and online tutoring firm,Byju Raveendran,"Owl Ventures, Tiger Global Management","$500,000,000",,
Melorra,2015,Bangalore,Jewellery startup,Melorra is an operator of an online jewelry store that is used to offer contemporary jewelry.,"Krishna Kumar, Saroja Yeramilli","Jamshed Jeejeebhoy, Symphony International Holdings","$12,500,000",,
Reliance,1973,Mumbai,Multinational conglomerate company,"Reliance owns businesses across India engaged in energy, petrochemicals, textiles, natural resources",Dhirubhai Ambani,"Facebook, Google, KKR, Silver Lake","$2,200,000,000",,
Inflexor Ventures,2020,Mumbai,FinTech,Experienced Venture Capital-General Partner focused on Technology investments.,"Parampara Capital, Venkat Vallabhaneni, Jatin Desai",,"$10,000,000",,
Pandorum,2011,Bangalore,Deeptech startup,A Bangalore based biotechnology company with focus on tissue engineering and regenerative medicine.,Tuhin Bhowmick,"021 Capital, Karnataka Information Technology Venture Capital Fund","$5,060,000",,
SpeakIn,2018,Noida,Social Network,"AI-enabled network of speakers and thought leaders, aka. experts",Deepshikha Kumar,Homage Ventures.,Undisclosed,,
LetsUp,2015,Mumbai,Publication,"Provides News, Jobs, Information & Entertainment on WhatsApp, Absolutely free",Suhas raikar,,Undisclosed,,
Newsreach,2018,Gujarat,Publication,NewsReach India offers partner publications a digital footprint,"Darshan Shah, Soniya Kundnani",Mumbai Angels,Undisclosed,,
Dream11,2008,Mumbai,Entertainment,Dream11 is India’s Biggest Sports Game with 30 million+ users playing Fantasy Cricket,"Bhavit Sheth, Harsh Jain","Steadview Capital, Tencent Holdings","$225,000,000",,
SignalX,2018,Hyderabad,SaaS platform,"An AI-powered SaaS platform for corporate risk and due diligence for a comprehensive financial, legal, regulatory, and reputational risk analysis",Govind Balachandran,,"$750,000",,
JetSynthesys,2012,Mumbai,Tech,Gaming and entertainment startup,Rajan Navani,"Adar C. Poonawalla, Kris Gopalakrishnan","$40,000,000",,
Vesta Space Technology,2018,Pune,Tech Startup,VestaSpace Technology specialises in making small satellite platforms for commercial and scientific applications.,Arun Kumar Sureban,,"$10,000,000",,
Dozee,2015,Bangalore,HealthTech,Dozee offers health and wellness monitoring products.,Gaurav Parchani,,"$1,600,000",,
Rebel Foods,2011,Pune,Food,"Known for its larger brands – Faasos, Behrouz Biryani, Oven story and Mandarin","Jaydeep Barman, Kallol Banerjee",Coatue Management,"$50,000,000",,
Nykaa,2012,Mumbai,Fashion,Cosmetics & beauty products online,Falguni Nayar,Steadview Capital,"$24,700,000",,
Ketto,2012,Mumbai,Finance,"Crowdfunding, Charity, E-commerce","Varun Sheth, Kunal Kapoor","Mumbai Angels, Redcliffe Capital","$7,700,000",,
Suryoday,2008,Mumbai,Finance,Banks that extends two distinct fixed deposit schemes,R. Baskar Babu,"Gaja Capital, Kotak Life, Lok Capital","$800,000",,
SucSEED,2016,Hyderabad,Finance,Venture Partners,Vikrant Varshney,"DR. Moti Vyas, Udit Goyal","$1,300,000",,
Unacademy,2015,Bangalore,EdTech,Unacademy is an Indian online education technology company,"Gaurav Munjal, ‎Roman Saini‎","Nexus Venture Partners, Sequoia Capital","$150,000,000",,
Strata,2019,Bangalore,Real Estate,"Commercial Real Estate, Commercial Property Investment, Best Long Term Investments","Lodha, Priyanka Rathore","Propstack, SAIF Partners","$1,90,67,328",,
3one4 Capital,2016,Bangalore,Venture capital,Use transformative capital and a deep involvement strategy to help Indian entrepreneurs,"Pranav Pai, Siddarth Pai",,"$100,000,000",,
WE-Hub,2018,Hyderabad,Entreprenurship,WE HUB is the first-of-its-kind and only State-run platform for Women Entrepreneurs.,Deepthi Ravula,,Undisclosed,,
Zomato,2008,Haryana,Food devlivery,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford","$62,000,000",,
Vicara,2017,Bangalore,Tech Startup,A deep tech startup pioneering in motion-based interfaces and insights.,"Abhishek Satish, Adarsh Warrier",,Undisclosed,,
Gaana,2010,Gurugram,Entertainment,Gaana is a commercial music streaming service providing free and licensed music.,Pawan Agarwal,"Tencent Holdings, Times Internet","$51,000,000",,
EM3 Agri,2013,Noida,AgriTech,A pioneering organization in the farming-as-a service (FaaS) space,"Rohtash Mal CMD, Adwitiya","Global Innovation Fund, Soros Economic Development Fund","$1,000,000",,
Plum,2013,Thane,Cosmetics,"Shampoos, Conditioner & Hair Mask For Healthy, Happy Hair",Shankar Prasad,"Ronald Conway, Bay Partners","$115,000",,
Odwen,2018,Noida,Warehouse,India's first do-it-yourself warehouse management system.,Vijay Anand Bhagavatula,Prospect Partners.,"$54,000",,
Fasal,2018,Bangalore,AgriTech,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,"Ananda Prakash Verma, Shailendra Tiwari","Omnivore, Zeroth.AI","$20,000",,
Trukky,2015,Ahmedabad,Logistics,"Transportation, logistics services & cargo services.","Saswat Sahu, Rishi Raj",Mumbai Angels.,Undisclosed,,
BankBazaar,2008,Chennai,Online financial service,Check your latest Credit Score and get your Credit Report online in India for Free,"Adhil Shetty, Arjun Shetty, Rati Shetty","Ramesh Srinivasan, Amazon","$9,000,000",,
Specsmakers,2011,Chennai,Eyeglasses,"A leader in crafting stylish, high-quality, eyewear at affordable prices.",Pratik Shah,Eight Roads Ventures,"$3,000,000",,
Grinntech,2013,Dehradun,Battery design,"Grinntech has a range of Lithium-ion batteries which sets new standards in Electrical safety, Energy density, Durability","Nikhilesh Mishra, Puneet Jain","Ashok Leyland, V Lakshmi Narayanan","$2,000,000",,
CreditMantri,2012,Chennai,Online credit management startup,CreditMantri is a provider of comprehensive Credit Analysis and Credit Improvement programs.,"Ranjit Punja, R Sudarshan, Gowri Mukherjee","Ranjit Punja, R Sudarshan, Gowri Mukherjee","$803,146",,
Chai Waale,2018,Chennai,Beverage,Given the rising trend in the number of tea stalls in the city,Vidur Maheswari,"Gunavanth Vaid, Bharat Kumar Sohanraj","$238,000",,
Deepsync,2018,Bangalore,Tech Startup,"Deepsync is a revolutionary way to record your content, without you really speaking.","Ishan Sharma, Rishikesh Kumar",Venkat Raju,"$300,000",,
Byju’s,2011,Bangalore,EdTech,An Indian educational technology and online tutoring firm,Byju Raveendran,"Owl Ventures, Tiger Global Management","$500,000,000",,
ConnectedH,2016,Gurgaon,HealthCare,The company’s vision is simple – Connected Healthcare.,"Shubham Gupta, Suresh Singh",,Undisclosed,,
Reliance Retail,2006,Mumbai,E-commerce,"Retailer delivering superior value to its customers, suppliers and shareholders.",Mukesh Ambani,Silver Lake Partners,"$10,220,000",,
QShala,2014,Bangalore,EdTech,A platform that helps kids learn about life skills,"Sachin Ravi, Raghav Chakravarthy",,"$300,000",,
Pitstop,2015,Bangalore,Car Service,"Pitstop owns and operates a network of garages that provides car repair, detailing",Mihir Mohan Mishra,"Clairvest Group, Ontario Centres of Excellence","$1,020,000",,
Zomato,2008,Haryana,Food devlivery,Get online food delivery from restaurants near you,"Deepinder Goyal, Pankaj Chaddah","MacRitchie Investments, Baillie Gifford","$100,000,000",,
Customfit ai,2019,Bangalore,SaaS startup,Operates on a SaaS model by providing a hyper-personalised website to users.,"Ashwin Kumar, Shoaib Mohammed",,Undisclosed,,
Nirmata,2013,San Franciscao,Tech,Nirmata offers a complete solution for Kubernetes management and deployment for cloud-based apps,"Damien Toledo, Jim Bugwadia, Ritesh Patel","Damien Toledo, Jim Bugwadia, Ritesh Patel",Undisclosed,,
Hire Me Car,2015,Noida,TravelTech,HireMeCar.com offers customers the fastest and easiest way to plan road travel.,Anmol Singh Jaggi,US based NRI Investors,Undisclosed,Seed,
Oga Fit,2017,Bangalore,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,Ashish Rawat,"Inflection Point Ventures, Mitesh Shah",Undisclosed,Pre-series A,
ShipsKart,2018,New Delhi,E-commerce,"ShipsKart platform that streamlines the way marine stores are ordered, approved and received on board with the help of technology.","Dhruv Sawhney, Vivek Sahi, Sunny Bagla",Betatron,"$200,000",Pre-series A,
SquadStack,2014,San Francisco,Tech company,"Empowering consumer businesses to improve their sales conversions and funnel efficiency, using Artificial Intelligence & Data Science.","Apurv Agrawal, Kanika Jain, Rishabh Ladha, Vikas Gulati","Chiratae Ventures, Blume Ventures","$5,000,000",Series A,
Financepeer,2017,Mumbai,EdTech,Financepeer is an AI based peer to peer lending platform.,"Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye","Ravi Sanghvi, PitchRight Venture","$3,000,000",Pre-series A,
Cashify,2009,Gurugram,E-commerce,Cashify.in is an e-commerce platform for reselling used electronic gadgets.,"Amit Sethi, Mandeep Manocha, Nakul Kumar","Bessemer Venture Partners, CDH Investments","$10,000,000",Debt,
Etrio,2017,Hyderabad,EV startup,"Etrio is an electric vehicle company in India with tata ace electric, Electric Tata ace HT",Deepak MV,HNIs,"$3,000,000",Series A,
Codeyoung,2019,Bangalore,EdTech,Codeyoung provides live online coding classes for kids between the age of 5 - 17.,"Shailendra Dhakad, Rupika Taneja",Guild Capital,Undisclosed,Seed,
StayQrious,2020,Bangalore,EdTech,"Live online coding courses with social learning. Build coding skills, confident communication and leadership skills with your very own coach.","Aanand Srinivas, Avinash Anand, Shankar Ram A",Y Combinator,"$2,000,000",Seed,
Sunstone Eduversity,2014,Gurugram,EdTech,India's Only Business School That Offers MBA & PGDM Programs With 100% Placement Assurance.,"Ashish Munjal, Piyush Nangru",Prime Venture Partners,"$3,000,000",Series A,
